Label,Notation,Parent Notation,Sort Priority
All,all,,1
0,0,,2
1,1,,3
10,10,,4
11,11,,5
12,12,,6
13,13,,7
14,14,,8
15,15,,9
16,16,,10
17,17,,11
18,18,,12
19,19,,13
2,2,,14
20,20,,15
21,21,,16
22,22,,17
23,23,,18
24,24,,19
25,25,,20
26,26,,21
27,27,,22
28,28,,23
29,29,,24
3,3,,25
30,30,,26
31,31,,27
32,32,,28
33,33,,29
34,34,,30
35,35,,31
36,36,,32
37,37,,33
38,38,,34
39,39,,35
4,4,,36
40,40,,37
41,41,,38
42,42,,39
43,43,,40
44,44,,41
45,45,,42
46,46,,43
47,47,,44
48,48,,45
49,49,,46
5,5,,47
50,50,,48
51,51,,49
52,52,,50
53,53,,51
54,54,,52
55,55,,53
56,56,,54
57,57,,55
58,58,,56
59,59,,57
6,6,,58
60,60,,59
61,61,,60
62,62,,61
63,63,,62
64,64,,63
65,65,,64
66,66,,65
67,67,,66
68,68,,67
69,69,,68
7,7,,69
70,70,,70
71,71,,71
72,72,,72
73,73,,73
74,74,,74
75,75,,75
76,76,,76
77,77,,77
78,78,,78
79,79,,79
8,8,,80
80,80,,81
81,81,,82
82,82,,83
83,83,,84
84,84,,85
85,85,,86
86,86,,87
87,87,,88
88,88,,89
89,89,,90
9,9,,91
90,90,,92
91,91,,93
92,92,,94
93,93,,95
94,94,,96
"95+",95,,97
0 to 4,0-4,,98
5 to 9,5-9,,99
10 to 14,10-14,,100
15 to 19,15-19,,101
20 to 24,20-24,,102
25 to 29,25-29,,103
30 to 34,30-34,,104
35 to 39,35-39,,105
40 to 44,40-44,,106
45 to 49,45-49,,107
50 to 54,50-54,,108
55 to 59,55-59,,109
60 to 64,60-64,,110
65 to 69,65-69,,111
70 to 74,70-74,,112
75 to 79,75-79,,113
80 to 84,80-84,,114
85 to 89,85-89,,115
90 to 94,90-94,,116
