Label,Notation,Parent Notation,Sort Priority
The densham surgery,a81001,,0
Queens park medical centre,a81002,,1
Acklam medical centre,a81004,,2
Springwood surgery,a81005,,3
Tennant street medical practice,a81006,,4
Bankhouse surgery,a81007,,5
Village medical centre,a81009,,6
Chadwick practice,a81011,,7
Westbourne medical centre,a81012,,8
Brotton surgery,a81013,,9
Queenstree practice,a81014,,10
Park surgery,a81016,,11
Woodbridge practice,a81017,,12
Bentley medical practice,a81018,,13
Crossfell health centre,a81019,,14
Martonside medical centre,a81020,,15
Normanby medical centre,a81021,,16
Hillside practice,a81022,,17
The endeavour practice,a81023,,18
The dovecot surgery,a81025,,19
Linthorpe surgery,a81026,,20
Yarm medical practice,a81027,,21
Prospect surgery,a81029,,22
Borough road & nunthorpe medical group,a81030,,23
Havelock grange practice,a81031,,24
The garth,a81032,,25
Thornaby & barwick medical group,a81034,,26
Newlands medical centre,a81035,,27
Norton medical centre,a81036,,28
The erimus practice,a81037,,29
Hirsel medical centre,a81038,,30
Eaglescliffe medical practice,a81039,,31
Marsh house medical practice,a81040,,32
Hart medical practice,a81041,,33
South grange medical group practice,a81042,,34
The manor house surgery,a81043,,35
Mckenzie house surgery,a81044,,36
The coatham road surgery,a81045,,37
Woodlands family medical centre,a81046,,38
Zetland medical practice,a81048,,39
Kings medical centre,a81049,,40
Cambridge medical group,a81051,,41
The green house surgery,a81052,,42
Woodside surgery,a81053,,43
The saltscar surgery,a81054,,44
Melrose surgery,a81056,,45
Kingsway medical centre,a81057,,46
Coulby medical practice,a81058,,47
The koh practice,a81060,,48
The headland medical centre,a81063,,49
The discovery practice,a81064,,50
The eston surgery,a81065,,51
Park lane surgery,a81066,,52
Alma medical centre,a81067,,53
Mckenzie group practice,a81070,,54
Dr rasool,a81602,,55
Elm tree surgery,a81608,,56
The roseberry practice,a81610,,57
Parkway medical centre,a81611,,58
The patel practice,a81612,,59
Huntcliff surgery,a81618,,60
Thorntree surgery,a81621,,61
Gladstone house surgery,a81622,,62
Riverside medical practice,a81629,,63
Foundations,a81630,,64
West view millenium surgery a,a81631,,65
Foundations -harris street,a81633,,66
The arrival practice,a81634,,67
Ulverston health centre (murray),a82003,,68
Alston medical practice,a82004,,69
Ambleside health centre,a82005,,70
Appleby medical practice,a82006,,71
Duke street surgery,a82007,,72
Norwood medical centre,a82008,,73
Bridgegate medical centre,a82009,,74
Abbey road surgery,a82010,,75
Brampton medical practice,a82012,,76
Upper eden medical practice,a82013,,77
Caldbeck surgery,a82014,,78
Warwick road surgery,a82015,,79
Carlisle healthcare,a82016,,80
Spencer st surgery,a82018,,81
Fusehill medical practice,a82019,,82
Eden medical group,a82020,,83
Castlegate and derwent surgery,a82021,,84
Dalston medical group,a82022,,85
Distington surgery,a82023,,86
Seascale health centre,a82024,,87
Captain french surgery,a82025,,88
The james cochrane pract.,a82026,,89
Station house surgery,a82027,,90
Castlehead medical centre,a82028,,91
The croft surgery,a82029,,92
Lunesdale surgery,a82030,,93
Shap medical practice,a82031,,94
Maryport health services,a82032,,95
Waterloo house surgery,a82033,,96
Birbeck medical group,a82035,,97
The lakes medical practice,a82036,,98
Silloth group medical practice,a82037,,99
Temple sowerby medical practice,a82038,,100
Dalton surgery,a82039,,101
Lowther medical centre,a82041,,102
Fellview healthcare,a82044,,103
Wigton group medical practice,a82045,,104
Windermere health centre,a82046,,105
James street group pract,a82047,,106
Nutwood medical practice,a82053,,107
Aspatria medical group,a82055,,108
Queen street medical practice,a82058,,109
Atkinson health centre,a82062,,110
Westcroft house surgery,a82064,,111
Ulverston community health centre,a82068,,112
St. mary's surgery,a82070,,113
Burnett edgar medical ctr,a82071,,114
Risedale surgery,a82072,,115
Mansion house surgery,a82075,,116
Liverpool house surgery,a82077,,117
Sedbergh medical practice,a82608,,118
Wraysdale house surgery,a82613,,119
Kirkoswald surgery,a82617,,120
Glenridding health centre,a82620,,121
The family practice,a82629,,122
Court thorn surgery,a82631,,123
Longtown medical centre,a82646,,124
Cartmel surgery,a82647,,125
Haverthwaite surgery,a82650,,126
Duddon valley medical practice,a82651,,127
Warwick square group practice,a82654,,128
St andrew's medical practice,a83001,,129
Willington medical group,a83003,,130
Whinfield medical practice,a83005,,131
Orchard court surgery,a83006,,132
Blackhall and peterlee practice,a83007,,133
Hallgarth surgery,a83008,,134
Bridge end surgery,a83009,,135
Moorlands surgery,a83010,,136
Claypath & university medical group,a83011,,137
William brown centre,a83012,,138
Neasham road surgery,a83013,,139
Belmont & sherburn medical group,a83014,,140
Station view medical centre,a83015,,141
Tanfield view medical group,a83016,,142
Consett medical centre,a83018,,143
North house surgery,a83020,,144
Auckland medical group,a83021,,145
The medical group,a83022,,146
Stanley medical group,a83023,,147
West rainton surgery,a83024,,148
Bishopgate medical centre,a83025,,149
Sacriston medical centre,a83026,,150
Coxhoe medical practice,a83027,,151
Middle chare medical group,a83028,,152
Great lumley surgery,a83029,,153
Dunelm medical practice,a83030,,154
Carmel medical practice,a83031,,155
Woodview medical practice,a83032,,156
Pelton & fellrose medical group,a83033,,157
Blacketts medical practice,a83034,,158
The weardale practice,a83035,,159
Chastleton medical group,a83036,,160
Bewick crescent surgery,a83037,,161
Cedars medical group,a83038,,162
Clifton court medical practice,a83040,,163
Murton medical centre,a83041,,164
Old forge surgery,a83043,,165
The horden group practice,a83044,,166
