Label,Notation,Parent Notation,Sort Priority
Aged 0 to 15,aged-0-to-15,,1
Aged 16+,aged-16plus,,2
Aged 16 to 64,aged-16-to-64,,3
Aged 16 to 24,aged-16-to-24,,4
Aged 16 to 17,aged-16-to-17,,5
Aged 18 to 24,aged-18-to-24,,6
Aged 18 to 21,aged-18-to-21,,7
Aged 25 to 49,aged-25-to-49,,8
Aged 50 to 64,aged-50-to-64,,9
Aged 65+,aged-65plus,,10
All ages,all-ages,,11
Age 0 to 4,aged-0-4,,12
Age 0,aged-0,,13
Age 1,aged-1,,14
Age 2,aged-2,,15
Age 3,aged-3,,16
Age 4,aged-4,,17
Aged 5 to 9,aged-5-9,,18
Age 5,aged-5,,19
Age 6,aged-6,,20
Age 7,aged-7,,21
Age 8,aged-8,,22
Age 9,aged-9,,23
Aged 10 to 14,aged-10-14,,24
Age 10,aged-10,,25
Age 11,aged-11,,26
Age 12,aged-12,,27
Age 13,aged-13,,28
Age 14,aged-14,,29
Aged 15 to 19,aged-15-19,,30
Age 15,aged-15,,31
Age 16,aged-16,,32
Age 17,aged-17,,33
Age 18,aged-18,,34
Age 19,aged-19,,35
Aged 20 to 24,aged-20-24,,36
Age 20,aged-20,,37
Age 21,aged-21,,38
Age 22,aged-22,,39
Age 23,aged-23,,40
Age 24,aged-24,,41
Aged 25 to 29,aged-25-29,,42
Age 25,aged-25,,43
Age 26,aged-26,,44
Age 27,aged-27,,45
Age 28,aged-28,,46
Age 29,aged-29,,47
Aged 30 to 34,aged-30-34,,48
Age 30,aged-30,,49
Age 31,aged-31,,50
Age 32,aged-32,,51
Age 33,aged-33,,52
Age 34,aged-34,,53
Aged 35 to 39,aged-35-39,,54
Age 35,aged-35,,55
Age 36,aged-36,,56
Age 37,aged-37,,57
Age 38,aged-38,,58
Age 39,aged-39,,59
Aged 40 to 44,aged-40-44,,60
Age 40,aged-40,,61
Age 41,aged-41,,62
Age 42,aged-42,,63
Age 43,aged-43,,64
Age 44,aged-44,,65
Aged 45 to 49,aged-45-49,,66
Age 45,aged-45,,67
Age 46,aged-46,,68
Age 47,aged-47,,69
Age 48,aged-48,,70
Age 49,aged-49,,71
Aged 50 to 54,aged-50-54,,72
Age 50,aged-50,,73
Age 51,aged-51,,74
Age 52,aged-52,,75
Age 53,aged-53,,76
Age 54,aged-54,,77
Aged 55 to 59,aged-55-59,,78
Age 55,aged-55,,79
Age 56,aged-56,,80
Age 57,aged-57,,81
Age 58,aged-58,,82
Age 59,aged-59,,83
Aged 60 to 64,aged-60-64,,84
Age 60,aged-60,,85
Age 61,aged-61,,86
Age 62,aged-62,,87
Age 63,aged-63,,88
Age 64,aged-64,,89
Aged 65 to 69,aged-65-69,,90
Age 65,aged-65,,91
Age 66,aged-66,,92
Age 67,aged-67,,93
Age 68,aged-68,,94
Age 69,aged-69,,95
Aged 70 to 74,aged-70-74,,96
Age 70,aged-70,,97
Age 71,aged-71,,98
Age 72,aged-72,,99
Age 73,aged-73,,100
Age 74,aged-74,,101
Aged 75 to 79,aged-75-79,,102
Age 75,aged-75,,103
Age 76,aged-76,,104
Age 77,aged-77,,105
Age 78,aged-78,,106
Age 79,aged-79,,107
Aged 80 to 84,aged-80-84,,108
Age 80,aged-80,,109
Age 81,aged-81,,110
Age 82,aged-82,,111
Age 83,aged-83,,112
Age 84,aged-84,,113
Aged 85+,aged-85plus,,114
Age 85,aged-85,,115
Age 86,aged-86,,116
Age 87,aged-87,,117
Age 88,aged-88,,118
Age 89,aged-89,,119
Aged 90+,aged-90plus,,120
